ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"88",59855,0.0054,0.4938,0.4904,0.0159,47127,0.8487,0.1513,0.059,0.0345,0.0298,0.0236,0.0013,
"89",59697,0.0028,0.5073,0.4757,0.017,46453,0.7931,0.2069,0.0645,0.0451,0.0383,0.0625,0.0013,
"90",59551,0.0003,0.555,0.427,0.018,44866,0.6663,0.3337,0.1929,0.0606,0.0434,0.0456,0.0017,
"91",60072,0.0091,0.5377,0.4462,0.016,46477,0.9043,0.0957,0.0223,0.0155,0.0334,0.0159,0.0017,
"92",58946,-0.0099,0.4891,0.4956,0.0153,46728,0.9053,0.0947,0.0182,0.0161,0.034,0.0179,0.0007,
"93",59422,-0.0019,0.5511,0.4313,0.0177,47696,0.8996,0.1004,0.0237,0.0137,0.0428,0.0148,0.0013,
"94",59265,-0.0045,0.5027,0.4827,0.0146,45020,0.9067,0.0933,0.0172,0.0122,0.0461,0.0118,0.0008,
"95",59805,0.0046,0.5509,0.4311,0.018,48133,0.8924,0.1076,0.0379,0.0222,0.0274,0.015,0.0013,
"96",59415,-0.002,0.5634,0.4221,0.0145,46364,0.9213,0.0787,0.0175,0.0185,0.0237,0.0125,0.0007,
"97",58975,-0.0094,0.3152,0.6714,0.0134,46726,0.9368,0.0632,0.027,0.0051,0.0119,0.0122,0.0005,
"98",59835,0.0051,0.3029,0.6863,0.0108,46126,0.9265,0.0735,0.0268,0.0109,0.0184,0.0099,0.0009,
"99",59032,-0.0084,0.3191,0.6688,0.0121,45709,0.935,0.065,0.024,0.0079,0.0145,0.0109,0.0011,
"",59533,0.0196,0.5046,0.4818,0.0136,46589,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
